Date,Load
2019-12-28 15:00:00,5247.8
2019-12-28 15:00:00,619.8
2019-12-28 15:00:00,1632.6
2019-12-28 16:00:00,1429.2
2019-12-28 16:00:00,1866.0
2019-12-28 16:00:00,630.7
2019-12-28 16:00:00,1105.4
2019-12-28 16:00:00,1120.4
2019-12-28 16:00:00,2299.8
2019-12-28 16:00:00,954.8
2019-12-28 16:00:00,340.5
2019-12-28 16:00:00,5398.1
2019-12-28 16:00:00,639.3
2019-12-28 16:00:00,1694.8
2019-12-28 17:00:00,1508.3
2019-12-28 17:00:00,1959.3
2019-12-28 17:00:00,672.9
2019-12-28 17:00:00,1177.2
2019-12-28 17:00:00,1200.6
2019-12-28 17:00:00,2507.0
2019-12-28 17:00:00,1040.5
2019-12-28 17:00:00,371.8
2019-12-28 17:00:00,5560.8
2019-12-28 17:00:00,651.9
2019-12-28 17:00:00,1800.9
2019-12-28 18:00:00,1497.3
2019-12-28 18:00:00,1974.4
2019-12-28 18:00:00,678.4
2019-12-28 18:00:00,1169.3
2019-12-28 18:00:00,1199.6
2019-12-28 18:00:00,2517.9
2019-12-28 18:00:00,1041.6
2019-12-28 18:00:00,377.2
2019-12-28 18:00:00,5577.2
2019-12-28 18:00:00,640.3
2019-12-28 18:00:00,1794.8
2019-12-28 19:00:00,1468.6
2019-12-28 19:00:00,1961.8
2019-12-28 19:00:00,669.0
2019-12-28 19:00:00,1148.8
2019-12-28 19:00:00,1175.4
2019-12-28 19:00:00,2470.5
2019-12-28 19:00:00,1007.0
2019-12-28 19:00:00,372.8
2019-12-28 19:00:00,5527.1
2019-12-28 19:00:00,651.4
2019-12-28 19:00:00,1773.3
2019-12-28 20:00:00,1434.8
2019-12-28 20:00:00,1913.9
2019-12-28 20:00:00,658.5
2019-12-28 20:00:00,1120.6
2019-12-28 20:00:00,1149.9
2019-12-28 20:00:00,2419.4
2019-12-28 20:00:00,988.2
2019-12-28 20:00:00,370.5
2019-12-28 20:00:00,5436.5
2019-12-28 20:00:00,648.1
2019-12-28 20:00:00,1749.6
2019-12-28 21:00:00,1383.9
2019-12-28 21:00:00,1848.9
2019-12-28 21:00:00,640.8
2019-12-28 21:00:00,1080.8
2019-12-28 21:00:00,1118.9
2019-12-28 21:00:00,2341.1
2019-12-28 21:00:00,951.5
2019-12-28 21:00:00,357.5
2019-12-28 21:00:00,5321.3
2019-12-28 21:00:00,636.4
2019-12-28 21:00:00,1708.8
2019-12-28 22:00:00,1313.7
2019-12-28 22:00:00,1760.9
2019-12-28 22:00:00,610.2
2019-12-28 22:00:00,1022.2
2019-12-28 22:00:00,1060.5
2019-12-28 22:00:00,2214.0
2019-12-28 22:00:00,880.2
2019-12-28 22:00:00,335.5
2019-12-28 22:00:00,5159.2
2019-12-28 22:00:00,609.5
2019-12-28 22:00:00,1636.9
2019-12-28 23:00:00,1233.8
2019-12-28 23:00:00,1676.9
2019-12-28 23:00:00,573.3
2019-12-28 23:00:00,972.4
2019-12-28 23:00:00,994.4
2019-12-28 23:00:00,2056.6
2019-12-28 23:00:00,833.2
2019-12-28 23:00:00,313.1
2019-12-28 23:00:00,4940.4
2019-12-28 23:00:00,573.6
2019-12-28 23:00:00,1560.7
2019-12-29 00:00:00,1183.0
2019-12-29 00:00:00,1633.7
2019-12-29 00:00:00,539.6
2019-12-29 00:00:00,927.1
2019-12-29 00:00:00,941.0
2019-12-29 00:00:00,1913.5
2019-12-29 00:00:00,780.6
2019-12-29 00:00:00,285.3
2019-12-29 00:00:00,4694.4
2019-12-29 00:00:00,564.8
2019-12-29 00:00:00,1473.8
2019-12-29 01:00:00,1144.7
2019-12-29 01:00:00,1601.9
2019-12-29 01:00:00,518.4
2019-12-29 01:00:00,893.6
2019-12-29 01:00:00,904.9
2019-12-29 01:00:00,1811.2
2019-12-29 01:00:00,732.4
2019-12-29 01:00:00,272.0
2019-12-29 01:00:00,4510.8
